citing_ut	cited_ut
000229754400009	000087728300001
000403104501058	000315718000002
000255083700014	000245323700034
000303813300001	A1993LT16400002
000285322100005	000087441200004
000428402100007	000323249100011
000296646800026	A1995TG69500008
000429699100005	000364897000044
000171168200015	000076344800023
000298952600003	000256758800019
000278094800008	000224650100012
000290024700048	A1996VK13500009
000084610900002	A1992KX11900042
000280643900014	000231603700003
000294420600006	000087396500001
000303371800001	A1996TT88500002
000245290600014	000188254100022
000183345600003	000078032900017
000331681000006	000270098100013
A1997XK48700021	A1995RV40200014
000249727400001	A1990DG98400004
000080628400020	A1991FA94000016
000072338300059	A1995QQ21400006
000373603500092	000266305500003
A1993LK64200001	A1987H388700008
000467752200150	000428729000006
000401800100013	000354189600033
000515094600017	000244684500004
000418315000007	000379885700005
000167875900020	A1991FX13200044
000432702800001	000247315400002
000462734000001	000083848700012
000381187100001	000236786800013
000348656800005	000346775800009
000241129900016	A1995TL69500019
000263433600021	A1984TH87900007
000286594800057	000072345600002
000088293300007	000072977500003
000378908400002	000231118600034
000226382600005	000078595500007
000259794400003	000167194100018
000433717700029	000394655600001
000177425900003	A1994NF96800007
000267604900012	000078090900002
000257947000028	000189232400008
000317706700007	A1997XW11700019
000371142000013	000073211300001
000467289800002	000291647100036
000071981100049	A1994NC04300049
000262350300003	A1992JF22700001
000174598500015	A1996TV68800048
000397316500002	000366909700001
000390661600001	000326706400003
000496874700024	000379058600011
A1994NK02300001	A1991FL65000010
000406988100006	000320487700063
000511199200004	000232719300005
000304687600005	000224665900031
000229283000015	A1982PH38400036
000180093900006	A1980JQ02600007
000336947800003	A1986E813400003
000077835300025	A1995QK77000003
000285300700001	000183796900008
000404101300005	000305836600001
000264753400003	A1983QD66500013
000265897700001	A1993LY33300017
000235738700001	000174490500004
000341473400005	000276964200006
000297759000042	A1987G673700034
000303061800003	000084725400006
A1987L594200005	A1980KX03200025
000423388700008	000246250900006
000390239600001	000323221500019
000227518200003	A1997YL00200023
000279503900009	000254955500009
000329281800015	000286980700002
000357760800005	000338517700009
000302792700011	000279056900050
000442415300002	000169079000002
000468296700008	000084725400006
000406371800049	000324352900001
000506275400001	000331107700037
000499647100006	000330634900018
000373801400008	000226217100007
000432321600011	000348560700024
000371032800001	000271846900001
000495611100051	000287456500003
000402608700032	000280568300014
000502555300001	000453845000059
000185370000007	A1996WL32300005
000311409300022	000187632500001
000428680800009	000361898500018
A1991GH53700463	A1985AMK0500003
000285679300016	000279503900009
000187669600068	000074811000012
000253450800003	000172644800008
000276071600016	A1997XB14400029
000237761200019	A1989AZ37800022
000431990200011	000362533800005
000438605300014	000188721800039
000475682700007	000332472700001
000346409000009	000262440900037
000301693100002	000176070800034
000311525800001	000260586500001
000434745900021	000278620100004
000268510200011	A1992HJ59600037
000418893000018	000245280100044
000301360800008	000266707500002
000281239500020	000074043500003
000341306600032	000302538500013
000299703400006	000187274900005
000305464300006	000245373400007
000432213400009	000365805400025
000443601600012	000327493000011
000187842100009	A1997WM65100005
000172090800002	A1990CN04700006
000084731300058	A1991HE13700004
000310586800005	000258865800016
000467561000008	000288400800018
000354619600013	A1993LA72900023
000442712600013	A1993ME67600005
000517656400017	000303496300002
000268510200011	000252100900014
000396167300060	000260052200002
000078090900002	A1996VX38300008
000398110100011	000298346700018
000248199200006	000165263300006
000186003500036	000078230700009
000307961900011	000243740900020
000317805900012	000084883500013
000305801400033	000253450800002
000285544000014	000232253700014
A1994PH06800006	A1991GG23900007
000176086500004	A1989AX25000001
000257238500033	000079227300045
000423669800006	000267356000006
000321742600003	000089020200043
000243839400006	000165750100014
000179946400008	A1994PQ93000083
000289600100001	000228070800033
000493528200011	000283677400014
000502888400013	000088382400012
000402407900013	000185294200001
000313769600054	000180426800044
000174364900002	000082775800001
000286367400007	000181684800015
000337648200012	A1981LU47900015
000508196500029	000309047800005
000318137800004	000298951300001
000257328900007	000174841500045
000335293600026	A1984SK58200011
000362516000003	000222407600009
A1997YC22200010	A1986E120900021
000374501900004	000183568500006
000449112700004	000325810900077
000247936500030	A1995TL69500021
000223844400004	000166621800011
000079474200004	A1986D512400007
000277289200001	000223038200033
000235469400015	A1997XR98200004
000428055300002	000320170600008
000402880700028	000297111400018
000503913900064	000399164600076
000499715500001	000315708600007
A1992HX19300016	A1988T147100006
000296026700002	000236198900002
000339101800024	000230049500029
000251378800005	A1991GK96700005
000307043400004	A1980KV43300012
000224568800020	000175361100008
000261954700001	000242999700005
000287164300010	000086327500004
A1993LW03200073	A1988P939500007
A1997YG42600003	A1986E052500014
000322547900010	000265550600028
000400171400008	000172590700006
000268176900006	000230426100004
000293297300002	000237656700019
000341253400056	A1991GT37900012
000330488400007	A1996VK37600003
000471812800002	000225943700002
000071220000001	A1986E310200012
000252558500008	000177508300009
000238461700007	A1994PP91600001
000088486800001	A1990CN92500006
000423777300086	000174672600003
000398662100016	000259910700010
000366077100067	000295489400015
000446938400001	000353711600028
000399820700025	000287428500019
000240404500007	000233536900026
000323297500009	000257275200022
000360295500002	000333853700001
000383611100012	000337738600007
000514247800004	000281797000017
000440678700001	000373116500012
000465627000001	000340255900002
A1997XJ30900002	A1994PJ42800047
000477971100001	000397823100006
A1995BE46H00004	A1987H385100003
000071763000007	A1984AGB6000009
000236457700002	000165513400004
000222751200001	A1995RT45200010
000427208400016	A1980KD68300019
000347249100002	000185271200003
000395604800003	000238321000012
000424176700048	000362056200017
A1997YL25900008	A1993ML24500013
000418712800005	000071822300031
000493228900001	000071083800014
000228570200012	A1994PC11100004
000083077100036	A1995RX00300033
000495475400001	000231539000004
000518530200007	000409078600005
000436283000004	000231053700014
000296137400001	000248812000007
000286367400007	000166329500015
000485735400015	A1990DR85200002
000378182500014	A1988M609100015
000224649000017	000083187900004
000428712400025	000300012100001
000085865300020	A1994MR49400056
000425021700009	000346890500015
000277830200009	000183516000006
000297517600007	000245280100044
000340327600002	000250230600047
000429377700004	000399955200021
000328804300044	000181582200002
000279816700001	000234403100009
000292811400009	A1991FA14000027
A1989AQ96900001	A1984TQ30300004
000082615800019	A1997BJ91M00007
000088047400001	A1988P396600001
000367037700001	A1993KU45500005
000344171500017	000241437100022
000381775500002	000246417600020
000345250400016	A1985AUQ2100015
A1991EU57900001	A1987L306500001
A1995RL45700007	A1981LP45000001
000305012700037	000263031600010
A1985C254700001	A1985AET0100028
000382495500012	000179130600013
000385794500003	000289465900015
000309860800013	000309860800006
000416395700013	000330356500016
000277789000005	000269650600013
000353889600190	000281891100018
000292791700005	000177599000012
000302722800043	000187891700001
000251671700008	000251205200004
000305326500002	000278032300020
000392850600004	000335968000031
000362138700022	A1995TL74700013
000250819400005	000076461100008
000512052000001	000281115200008
000345970700010	A1996BF61N00027
000346611400079	000224489000002
000462878400002	000457357500013
000431204300001	000240016000002
000457690600003	000349302600014
000078319200046	A1992HD55900012
000250937800019	A1997VR52700002
000433487900001	000340715100006
000378338800025	000255826400001
000501339000001	000262350300018
000415932700032	000321232200035
A1984ABY6900001	A1984SM02200026
000292603300004	000183695500005
000326734500123	000302722800044
000304902500016	000310273500003
000429491500015	000225943700002
000405013800009	000331107700037
000437286500006	A1980KN55600016
000289539100002	000252158800004
000307515300003	A1983RE56400006
000288522000008	000245608900007
000356534400012	000078090900013
000405821200006	000075368900005
000496994900008	000324806900009
000387526900017	000249798300002
000482770300005	000305928900009
000355055400010	000083754200013
000084725400006	A1996UW35200056
000411775200013	A1993LD43500001
000428940600003	000434153600002
000463832700001	000341971800013
000492691100009	000378816200039
000223156600022	000189190100007
000241775200008	000230334500014
000405724600141	000283119500004
000465627000001	000291995600018
000304003500001	000244133000010
000459585200014	000331107700037
000264759600026	000240985000001
000249368000059	A1993ME99700032
000179946400008	000083464700060
000177780100003	A1996UF74000026
000309715800012	000180531300023
000485736900008	000232939700010
000453491000003	000414820600002
000441447400003	000362454800016
000503209200005	000353378200027
000274999100002	000085186900036
000079662100002	A1988P804700026
000304863300007	000238460400017
000326434800001	000185296700007
000464297900009	000293532500022
000320746000008	000309210200018
000240835700004	000184970900035
000442976600014	A1995QN08400005
000484404900007	000356233800006
000339368300002	000084725400006
000172539300002	A1993MK70500003
000279048100038	A1988T180000008
000435746200031	000172208800001
000473249000017	A1993KK31900004
000084732700003	A1992HX27300008
000178242800003	A1987H707300032
000220589700003	000080888400001
000175060900004	A1995RK16500015
000376151600002	000281891100018
000335808900016	000235285300001
000075081800005	A1984TU01800087
000362139300014	000272083100003
000423005200002	000287701500005
000386028400004	000187400100002
000503721900007	000262089400002
000373394900009	000223695300004
000298829600008	000174574000014
000375204000001	000225323900011
000503544000001	000271683900010
000243942500003	A1993KH62000075
000255180200012	000088331600005
000238491800002	000233829100015
000254944200004	A1997YD41700009
000293419200003	000251579300036
000365632300004	000254480600004
000418214600001	A1991EX64300007
000467802500012	A1994NV33700001
A1995RJ13000003	A1989AZ54400008
000317567200015	000250217100012
000438958800022	000294046600047
000079264900001	A1996VN95900019
000284747300004	A1992KG33700015
000374843200001	000257009000012
000346900600002	000305594700001
000508353600005	A1997WX15100006
000466823200024	000300726000003
000289162100017	000273899600005
000288376800013	000227854700001
000227480200002	000087107300007
000408355800032	000087266900011
000457707300034	000448819600002
A1995RD41400011	A1988R119900006
000478999400090	000370885800001
000504829900007	000315323600006
000283846800023	000227854700001
000326114300015	000286437800005
000247929900047	A1996TW33100008
000223013700010	A1994PU49800001
000077835300025	A1993KN42000005
000386406500020	000088492700017
000408783900011	000250937800019
000326773800003	A1992HK76900004
000319399600016	000088880200004
000344925700001	000286260100003
A1996VF61400027	A1994ND73000016
000364259000011	000348192800006
000372355600010	000253453600040
000269572600001	000269572600003
000483339400001	000383721300004
000170679400008	A1994NE76600001
000247539000022	000174598500007
000248356300007	A1983RS90100009
000432918800012	000256118100005
000457220700001	A1988T203700021
A1992HD96900003	A1982NH40700002
000406945500001	000249818800002
000351929100003	000176065300011
000348062700003	000185294200001
000238755600002	A1981KX07600009
000405821200006	000331226200013
000414416600004	000355275100007
000313364500020	000264351800005
000182414700006	000080100100003
000172567200016	000078676100022
000289259700001	000239201900012
000439700800016	000303003500056
000079287100007	A1985AFS5400045
000298014800016	000079382600012
000172267600017	000087266900011
000273630200021	000237171900008
000286367400007	000249237600009
000352328300036	000340393800005
000397581100004	000318062600001
000379185400022	000265227600014
000480462400001	000230963500008
A1990EP49800005	A1982NX56700005
000246252000007	000179649000003
000180042400009	000087620600054
000363957700014	000260511800024
000339070400002	A1992HY34400003
A1993LN99700005	A1985ALU2800003
000460803200076	000268303600003
000287589300003	000224759000001
000175109600008	A1993LU30900006
000431209000007	000300043200024
000485324300023	000292461300050
000452394500004	000336806700012
000271398100006	000249917600007
000329647300010	000188791900010
000255670100010	A1997YJ98700019
000271523700015	A1981LE33100006
000284747300004	000238095100036
000501585500023	000225592500027
000505577400021	000181582200004
000426056100003	000309995100123
000446938400001	A1980KJ92300009
000501037000001	000283201800002
000364148300001	000276750500002
000407232500004	000292890400018
000226570700003	000079321200011
000366077100040	000247966800054
000488458700005	000414756700008
000078084500009	A1996VU55000002
A1993LT16400002	A1989CH76800001
A1996TV53400001	A1987K375300004
000399860300005	000358394400021
000468963200012	000427208400016
000170942600001	000079587000002
000169567300001	A1992JT21800003
000315025200003	000246762000011
000436558500037	A1989AG50000002
000497712500005	000251715100007
000348061600005	000305582200021
A1994MK11100008	A1992KB44400004
000272861400003	000237104400005
000363458100057	000324765100057
000403083000004	000080837100010
000387600000005	000209703800020
000380723800018	000246250900006
000339995100016	000322342600004
000081214800003	A1994QF93200004
000419675700013	000285163500007
000448819600008	000086382100009
000271383100010	A1992JW81600006
000262801000011	A1991GJ96200038
000262578800008	A1982PK70300010
000276021700001	000259452300008
000465874700006	000416501000002
000253121500001	A1993ME49400005
000279934400012	000178922200012
000444551100011	000240465500009
000228129800011	000176822700033
000229852800021	A1996UK40400010
000317385300060	000222213000031
000414820600002	000279870500007
000458940600025	000227650000001
000461535900016	000182202600005
A1995BE46H00004	A1987H347000012
A1994ND55900008	A1987J472700076
000071799400010	A1997WU57500005
000279503900009	000079705200002
000371401401353	000361548803122
000510464700003	000325126100042
000284156700009	000240576200004
000390329000007	000352141600006
000244133000010	000226651100010
000409099000004	000267151100023
000298346700011	000169473800036
000081403500014	A1993KU53100011
000333546700004	000221060100025
000175060900004	A1982NE94700005
000282089200005	000229166800005
000325810900077	A1997WN75400020
000366077100040	000274495200016
A1992JF85600006	A1983RE12500023
000440847100005	000410763400004
000459327400008	000075189600001
000313344300008	000238729400003
000300567400038	000242744900001
000384453700013	000224616200018
000073943000003	A1992KX78900003
000407677100021	000177770200006
000349093800015	000333499800039
000319108100056	000263399400011
000383924700012	000316582700015
000304926200033	000233839300009
000305283900001	000229244900006
000325097300010	000165911000016
A1993LC09500002	A1981MQ39900001
000309388800031	000184474000004
000325191600002	A1982PQ57300007
000496658300008	000221265100001
000373919200003	000293097200034
000301317500002	000221284100001
000281410900004	A1994PC73300006
A1993LD39300001	A1992HR40600002
000268150000001	000222265100002
000394403200019	A1992HC38500045
000177780100007	A1995QL39700061
000408004400006	000269587200006
000413694700002	000383668500017
000279474900022	A1996UD00300003
000284433100015	000222273100056
000334485700006	A1991EW97500003
000418337200004	000262479000002
000336807300024	000255099302013
000238421800020	A1986F072700013
000279934400012	000255270200007
000356626700023	000085394900015
000281687100004	000188774900022
000438504400002	000412723500001
000454777600013	000173629300010
000419713700002	000207780600112
000406572300016	000228952100014
000342220700029	000086925700004
000325061000001	000309140900025
000258646300001	000245388800012
000089978500010	A1987J487900003
000362735300011	000251579300015
000446468000014	000310834900005
000321090200014	000168498200010
000088222200011	A1984TH87900006
000285231500023	A1993MN26500005
000494232000001	000407981500001
000442864900050	000300415400018
000389244400021	000245065300003
000183887600023	A1997XR97600006
000460824700023	000259127000004
000504838100010	000181871700002
000396779900004	000290606900009
000345605300001	000088880200004
000365055700039	000352352800009
000247029200002	A1995TG69500008
000286515000010	A1997YG42600003
000311500300001	000189150400016
000319564300002	000273926000006
000518493000045	000292678600006
000460865600001	A1991FM39300001
000282063400002	000171673200054
000288543900008	000072782000001
000179640500001	A1989AX57200001
000407570000117	000187401800006
A1993MM84700003	A1989AR74900005
000295666700011	000227854700001
000488300900035	000351926200009
000256340200013	A1985ATH4500019
000253895300012	000081948800007
000281239100006	000228160700015
000374541000017	A1993MF29800022
A1991GD33800010	A1988N755600011
A1993KH75900006	A1989AE91600009
000459585200014	000457690600417
000176639600019	A1993KX49800004
000317706700007	000262757500010
000445158700002	000187256400001
000487122600007	000400819800007
000410138500001	000237517000005
000168876300018	A1991JE49900004
000276942600012	000182640800014
000249949000009	000073613500007
000257274800004	000221572200008
000355055400010	000318566400016
000293314900012	A1994PQ35900004
000375481200015	000313429100075
000366137400008	A1984SM79100003
000390195900008	000323078400004
000495192500001	000342670000003
000495293500001	000289938900001
000311146900122	000297517600007
000294720400002	000270454800001
000083557600007	A1991FP85100005
000302926400008	A1992JM82000010
000275748100003	000242375100007
000271732400021	000241102600024
000293419200003	000276705600008
000392405300091	000285361000005
000408996500015	000249917600009
000331127400001	000282828900019
000459829100005	000396899500003
000307533900007	000257105500011
000255150400003	A1988R489900008
000452819300091	A1987K529100004
000305392100005	000261340000040
000384430700007	000258783000004
000336482700012	000292461300050
000086888300006	A1996UC77500028
000338631000091	000182490000026
000340671200006	000180922000018
000313780300019	000183487200011
000305336400040	000254683000011
000477638900001	000302722800040
000371368600007	000224172700002
000255114500014	A1991EY38400008
000083521200013	A1994NP51300050
000307690000002	A1997XB78800023
000182054200010	000165693700021
000360069200028	000172056800003
000361479500007	000230037800012
000266884200011	000233037000004
000333981600010	000320720400001
000309431500007	000251561000005
000400858200009	000319440300006
000483125200001	000388989200009
000236875200029	000220743400017
000312607700014	000171258800001
000264705700014	000072166600003
000228204400014	000077486400009
000285806000016	A1985APJ8100007
000342668700001	000071658500011
000288121500005	000263116700001
000426845500035	000260001200002
000369974900008	000356011500043
000082775800001	A1993LR16600022
000301170800003	000287923500032
000457652200010	000403083000004
000451952800001	000226862800012
000342687200055	000260586500001
000362238600006	000076461100008
000359382300015	000286260100007
000169764500005	A1994PW51700001
000183796900008	000072459600005
000235541700011	000086988700009
000363246400006	000209675600005
000305341300019	000260586500001
000448251200011	000085512900014
000255198100004	000241163100003
000387130800003	000088880200004
